Year_Month,Province,Standardized_NO2,Standardized_PM25,Standardized_PM10
1990-12,Zeeland,1.4965074181040796,,
1990-12,Zuid-Holland,2.075037238371196,,
2016-01,Drenthe,0.22371928429213533,,1.360287491172732
2016-01,Flevoland,0.6563584088392606,,0.6370902411057836
2016-01,Friesland,0.06177263634607493,1.7684722563889586,1.1901050553021957
2016-01,Gelderland,1.164091638500718,0.8858195229214617,0.8962680159532336
2016-01,Groningen,1.0978651932436738,2.2595675062587928,2.9625684741538336
2016-01,Limburg,0.8273146131757761,0.31311331890850336,-0.6241311614833224
2016-01,Noord-Brabant,1.1384835148381731,0.73718872978951,0.23663108118492876
2016-01,Noord-Holland,1.5615437920940431,1.4259187999339615,0.8596551716650069
2016-01,Overijssel,0.5422467397107954,1.9291641988948618,0.8046681900366088
2016-01,Utrecht,1.437201285553289,0.9119440055797515,
2016-01,Zeeland,0.29388961294463195,,
2016-01,Zuid-Holland,1.728604102228221,0.840986299179983,
2016-02,Drenthe,-0.597728674919865,,-1.0332435637318373
2016-02,Flevoland,0.052885833710913786,,-0.5560253981819637
2016-02,Friesland,-0.8881501152244183,-0.4032596917838868,-0.8338426030095394
2016-02,Gelderland,0.9436998448318883,0.33425629106797383,0.18686434430530677
2016-02,Groningen,0.4937108776557104,0.0893605333246761,0.8372013382860255
2016-02,Limburg,0.7580438561705055,0.49390115716295363,-0.6563060070918094
2016-02,Noord-Brabant,1.0086671495962545,0.38423225304650876,
2016-02,Noord-Holland,1.341069481158842,0.7645872251347088,
2016-02,Overijssel,-0.23509660373894967,0.5850473150025193,
2016-02,Utrecht,1.2242455985940848,0.3517022258447935,0.38007345153464006
2016-02,Zeeland,0.07651094229983611,,0.2163289210403602
2016-02,Zuid-Holland,1.6241770423759418,0.33974672048636884,0.6874776522437636
2016-03,Drenthe,-0.899674111624239,,-0.2086238243050146
2016-03,Flevoland,-0.3508494562879285,,0.047284893560264295
2016-03,Friesland,-0.9865256654694236,-0.035160952524352716,0.15343108026500024
2016-03,Gelderland,0.9676125468293696,1.2052877440490295,
2016-03,Groningen,0.4812957120697925,0.9247759392064591,
2016-03,Limburg,0.8193482952365156,1.8007837733710317,
2016-03,Noord-Brabant,0.858593967655594,1.4413096668985304,-0.2698916424695811
2016-03,Noord-Holland,1.2673222901698358,1.389663793377517,0.11401376671625844
2016-03,Overijssel,-0.6712759467151669,1.452564091829569,-0.8430328420992652
2016-03,Utrecht,1.0434154249967473,1.1559798349102062,-0.157595430282749
2016-03,Zeeland,0.07257996749087277,,-0.11485470381523705
2016-03,Zuid-Holland,1.4366097581204902,1.0977571904393952,0.28999356945405746
2016-04,Drenthe,-1.166449141897183,,
2016-04,Flevoland,-0.6055462034615569,,
2016-04,Friesland,-1.4792597809250592,-0.5758190197907208,
2016-04,Gelderland,0.5784217317317805,-0.25572109154161865,1.1994618928339875
2016-04,Groningen,0.1821491275232162,-0.08726034075674671,1.6163895122675267
2016-04,Limburg,0.3031621658611032,-0.17681972800010323,1.1684229270212256
2016-04,Noord-Brabant,0.4547318180435117,-0.07597415726334329,0.8942004505305127
2016-04,Noord-Holland,1.0411109807065368,0.3768819112499833,0.8144950578138425
2016-04,Overijssel,-0.9813580895961616,-0.10822398824817851,0.0806307899960668
2016-04,Utrecht,0.779564742676918,-0.308850968467646,0.5421663190825808
2016-04,Zeeland,-0.2921150846462501,,1.3330050929114454
2016-04,Zuid-Holland,1.2268966740772829,-0.15439692265504784,0.9111285997604812
2016-05,Drenthe,-1.0477840037283366,,-1.5156917646855745
2016-05,Flevoland,-0.7892645081786235,,-0.8389956744795708
2016-05,Friesland,-1.3627734174361883,-0.022955342478114912,-0.5169693815685412
2016-05,Gelderland,0.5507626553619943,-0.0691219728704477,-0.17326955058398896
2016-05,Groningen,0.0019848280113338316,-0.049203573908973786,0.7611321789237946
2016-05,Limburg,0.1731331375442702,0.0817959217087321,-0.7965125519487443
2016-05,Noord-Brabant,0.35939689827440613,0.5507017176652224,-0.6024651843447523
2016-05,Noord-Holland,0.8396460400747741,0.9250062949560978,-0.1271916115208215
2016-05,Overijssel,-1.1937953599764175,0.16866973753170783,-1.2132240120404543
2016-05,Utrecht,0.4368717856289124,0.0020184722792474883,
2016-05,Zeeland,-0.16228117619067867,,
2016-05,Zuid-Holland,0.9977056256763184,0.3031028702187144,
2016-06,Drenthe,-1.4151796653823838,,-0.6227784485831211
2016-06,Flevoland,-1.2459015213045643,,-0.0222598859106984
2016-06,Friesland,-1.648458252984565,-0.42647253410428443,0.3241768098590087
2016-06,Gelderland,0.19971047353966712,-0.6019161902701091,0.40286956739385166
2016-06,Groningen,-0.01025624356891038,-0.14302622283059,1.4329793798289778
2016-06,Limburg,0.0017274592275073805,0.5003544640262455,0.26423411884154274
2016-06,Noord-Brabant,0.19512436113608086,0.9322458597810358,
2016-06,Noord-Holland,0.6461412203782361,0.4530056603413365,
2016-06,Overijssel,-1.4560097191513812,-0.3624689525663683,
2016-06,Utrecht,0.3831457158700433,-0.20447470730661388,-0.6176906522151802
2016-06,Zeeland,-0.5655439230999476,,0.03421268513460017
2016-06,Zuid-Holland,0.9038518151791716,-0.1383161420757041,-0.19712399907697895
2016-07,Drenthe,-1.8540631405617174,,-0.8707347812616936
2016-07,Flevoland,-1.335309142999674,,-0.04051398605643113
2016-07,Friesland,-1.8592460680674154,-2.0541937231826917,0.6600291174230626
2016-07,Gelderland,0.316115765761767,-1.277407536641807,
2016-07,Groningen,-0.28512574859267,-1.1404256594705282,
2016-07,Limburg,-0.15066268308503541,-0.4739439490193256,
2016-07,Noord-Brabant,-0.04698284733152707,-0.08090352711297698,0.477820025032571
2016-07,Noord-Holland,0.5323513819094684,-0.18765055972454095,0.5850944143881879
2016-07,Overijssel,-1.3242275194704853,-1.3576873176536455,-0.11312802401789669
2016-07,Utrecht,0.42720393466904255,-1.0976624942232058,0.019859257030537286
2016-07,Zeeland,-1.1378252861418316,,1.1510409189278061
2016-07,Zuid-Holland,0.7591664522262032,-1.221286055984265,0.5489853466978972
2016-08,Drenthe,-1.4288880872296612,,
2016-08,Flevoland,-1.2025425038453628,,
2016-08,Friesland,-1.7179870115499236,-1.7220078817619704,
2016-08,Gelderland,0.37437089255575706,-1.3366093804769037,0.0823994060283099
