meetlocatie_id
NL01483
NL01485
NL01486
NL01487
NL01488
NL01489
NL01491
NL01493
NL01494
NL01495
NL01496
NL01497
NL01908
NL01912
NL01913
NL10107
NL10131
NL10133
NL10136
NL10138
NL10227
NL10230
NL10235
NL10236
NL10237
NL10238
NL10240
NL10241
NL10246
NL10247
NL10248
NL10301
NL10318
NL10404
NL10418
NL10433
NL10435
NL10437
NL10441
NL10442
NL10444
NL10445
NL10446
NL10449
NL10450
NL10513
NL10520
NL10537
NL10538
NL10540
NL10547
NL10549
NL10550
NL10617
NL10620
NL10631
NL10633
NL10636
NL10637
NL10638
NL10639
NL10640
NL10641
NL10643
NL10644
NL10704
NL10720
NL10722
NL10724
NL10727
NL10728
NL10729
NL10738
NL10741
NL10742
NL10807
NL10818
NL10903
NL10918
NL10928
NL10929
NL10934
NL10937
NL10938
NL49002
NL49003
NL49007
NL49012
NL49014
NL49017
NL49019
NL49020
NL49021
NL49022
NL49546
NL49551
NL49553
NL49561
NL49564
NL49565
NL49680
NL49701
NL49703
NL49704
NL50002
NL50003
NL50004
NL50010
NL53001
NL53004
NL53015
NL53016
NL53020
NL54004
