Format;MediaType;DownloadUrl;AccessUrl;Language
csv;csv;https://datasets.cbs.nl/csv/CBS/nl/85984NED;https://dataportal.cbs.nl/detail/CBS/85984NED;nl
odata;odata;https://datasets.cbs.nl/odata/v1/CBS/85984NED;https://dataportal.cbs.nl/detail/CBS/85984NED;nl
