Unnamed: 0,Year_Month,Province,Average NO2 Value,Average PM2.5 Value,Average PM10 Value,area_km2_st,vehicles_tot,Year,RegioS
58.0,1990-05-01,Zeeland,0.666156482565635,,,0.0,-1.5053621895354865,,
59.0,1990-05-01,Zuid-Holland,3.410992624532312,,,0.0,1.487081592756217,,
60.0,1990-06-01,Drenthe,-0.5415714198997029,,,0.0,-1.0521706297180344,,
61.0,1990-06-01,Flevoland,-0.4317779742210358,,,0.0,-0.9524340992609523,,
62.0,1990-06-01,Friesland,-0.761158311257037,,,0.0,-0.6815982209571082,,
63.0,1990-06-01,Gelderland,2.203264722066974,,,0.0,0.9589488557843924,,
64.0,1990-06-01,Groningen,-0.5415714198997029,,,0.0,-1.0289073219540792,,
65.0,1990-06-01,Limburg,0.775949928244302,,,0.0,0.0075417125728072,,
66.0,1990-06-01,Noord-Brabant,2.5326450591029754,,,0.0,1.359605384092034,,
67.0,1990-06-01,Noord-Holland,1.7640909393523057,,,0.0,1.0743410235384998,,
68.0,1990-06-01,Overijssel,0.2269826998509666,,,0.0,0.1062752550472887,,
69.0,1990-06-01,Utrecht,3.520786070210979,,,0.0,0.2266786376344053,,
70.0,1990-06-01,Zeeland,-0.3219845285423687,,,0.0,-1.5053621895354865,,
71.0,1990-06-01,Zuid-Holland,2.642438504781642,,,0.0,1.487081592756217,,
72.0,1990-07-01,Drenthe,-0.8709517569357041,,,0.0,-1.0521706297180344,,
73.0,1990-07-01,Flevoland,-0.761158311257037,,,0.0,-0.9524340992609523,,
74.0,1990-07-01,Friesland,-1.0905386482930384,,,0.0,-0.6815982209571082,,
75.0,1990-07-01,Gelderland,1.5445040479949714,,,0.0,0.9589488557843924,,
76.0,1990-07-01,Groningen,-0.65136486557837,,,0.0,-1.0289073219540792,,
77.0,1990-07-01,Limburg,0.775949928244302,,,0.0,0.0075417125728072,,
78.0,1990-07-01,Noord-Brabant,2.093471276388307,,,0.0,1.359605384092034,,
79.0,1990-07-01,Noord-Holland,1.2151237109589703,,,0.0,1.0743410235384998,,
80.0,1990-07-01,Overijssel,-0.3219845285423687,,,0.0,0.1062752550472887,,
81.0,1990-07-01,Utrecht,2.642438504781642,,,0.0,0.2266786376344053,,
82.0,1990-07-01,Zeeland,-0.1023976371850346,,,0.0,-1.5053621895354865,,
83.0,1990-07-01,Zuid-Holland,2.093471276388307,,,0.0,1.487081592756217,,
84.0,1990-08-01,Drenthe,-0.2121910828637017,,,0.0,-1.0521706297180344,,
85.0,1990-08-01,Flevoland,-0.1023976371850346,,,0.0,-0.9524340992609523,,
86.0,1990-08-01,Friesland,-0.4317779742210358,,,0.0,-0.6815982209571082,,
87.0,1990-08-01,Gelderland,2.642438504781642,,,0.0,0.9589488557843924,,
88.0,1990-08-01,Groningen,0.0073958084936324,,,0.0,-1.0289073219540792,,
89.0,1990-08-01,Limburg,2.093471276388307,,,0.0,0.0075417125728072,,
90.0,1990-08-01,Noord-Brabant,3.630579515889646,,,0.0,1.359605384092034,,
91.0,1990-08-01,Noord-Holland,2.4228516134243083,,,0.0,1.0743410235384998,,
92.0,1990-08-01,Overijssel,0.666156482565635,,,0.0,0.1062752550472887,,
93.0,1990-08-01,Utrecht,4.069753298604314,,,0.0,0.2266786376344053,,
94.0,1990-08-01,Zeeland,0.775949928244302,,,0.0,-1.5053621895354865,,
95.0,1990-08-01,Zuid-Holland,3.520786070210979,,,0.0,1.487081592756217,,
96.0,1990-09-01,Drenthe,-0.2121910828637017,,,0.0,-1.0521706297180344,,
97.0,1990-09-01,Flevoland,0.3367761455296337,,,0.0,-0.9524340992609523,,
98.0,1990-09-01,Friesland,-0.761158311257037,,,0.0,-0.6815982209571082,,
99.0,1990-09-01,Gelderland,2.313058167745641,,,0.0,0.9589488557843924,,
100.0,1990-09-01,Groningen,-0.3219845285423687,,,0.0,-1.0289073219540792,,
101.0,1990-09-01,Limburg,1.8738843850309728,,,0.0,0.0075417125728072,,
