,Year_Month,Province,Average NO2 Value,Average PM2.5 Value,Average PM10 Value,area_km2,vehicles_tot
114,1990-10-01,Noord-Brabant,42,,,0.0,57201144
115,1990-10-01,Noord-Holland,45,,,0.0,47438165
116,1990-10-01,Overijssel,36,,,0.0,25136738
117,1990-10-01,Utrecht,52,,,0.0,27202822
118,1990-10-01,Zeeland,35,,,0.0,8732228
119,1990-10-01,Zuid-Holland,49,,,0.0,62190626
120,1990-11-01,Drenthe,25,,,0.0,11755668
121,1990-11-01,Flevoland,31,,,0.0,12550586
122,1990-11-01,Friesland,22,,,0.0,14990976
123,1990-11-01,Gelderland,42,,,0.0,43979534
124,1990-11-01,Groningen,27,,,0.0,11936457
125,1990-11-01,Limburg,37,,,0.0,23560147
126,1990-11-01,Noord-Brabant,40,,,0.0,57201144
127,1990-11-01,Noord-Holland,45,,,0.0,47438165
128,1990-11-01,Overijssel,33,,,0.0,25136738
129,1990-11-01,Utrecht,54,,,0.0,27202822
130,1990-11-01,Zeeland,35,,,0.0,8732228
131,1990-11-01,Zuid-Holland,50,,,0.0,62190626
132,1990-12-01,Drenthe,24,,,0.0,11755668
133,1990-12-01,Flevoland,27,,,0.0,12550586
134,1990-12-01,Friesland,23,,,0.0,14990976
135,1990-12-01,Gelderland,37,,,0.0,43979534
136,1990-12-01,Groningen,27,,,0.0,11936457
137,1990-12-01,Limburg,36,,,0.0,23560147
138,1990-12-01,Noord-Brabant,38,,,0.0,57201144
139,1990-12-01,Noord-Holland,38,,,0.0,47438165
140,1990-12-01,Overijssel,28,,,0.0,25136738
141,1990-12-01,Utrecht,47,,,0.0,27202822
142,1990-12-01,Zeeland,32,,,0.0,8732228
143,1990-12-01,Zuid-Holland,42,,,0.0,62190626
144,2016-01-01,Drenthe,17,,23.0,0.0,11755668
145,2016-01-01,Flevoland,21,,19.0,0.0,12550586
146,2016-01-01,Friesland,16,17.0,22.0,0.0,14990976
147,2016-01-01,Gelderland,27,12.0,21.0,0.0,43979534
148,2016-01-01,Groningen,26,19.0,32.0,0.0,11936457
149,2016-01-01,Limburg,23,10.0,15.0,0.0,23560147
150,2016-01-01,Noord-Brabant,27,12.0,18.0,0.0,57201144
151,2016-01-01,Noord-Holland,33,15.0,21.0,0.0,47438165
152,2016-01-01,Overijssel,20,18.0,20.0,0.0,25136738
153,2016-01-01,Utrecht,31,12.0,18.0,0.0,27202822
154,2016-01-01,Zeeland,18,,18.0,0.0,8732228
155,2016-01-01,Zuid-Holland,36,12.0,20.0,0.0,62190626
156,2016-02-01,Drenthe,11,,13.0,0.0,11755668
157,2016-02-01,Flevoland,16,,14.0,0.0,12550586
158,2016-02-01,Friesland,9,8.0,14.0,0.0,14990976
159,2016-02-01,Gelderland,24,10.0,18.0,0.0,43979534
160,2016-02-01,Groningen,20,9.0,21.0,0.0,11936457
161,2016-02-01,Limburg,22,11.0,14.0,0.0,23560147
162,2016-02-01,Noord-Brabant,25,10.0,16.0,0.0,57201144
163,2016-02-01,Noord-Holland,30,12.0,18.0,0.0,47438165
164,2016-02-01,Overijssel,13,11.0,14.0,0.0,25136738
165,2016-02-01,Utrecht,28,10.0,16.0,0.0,27202822
166,2016-02-01,Zeeland,16,,16.0,0.0,8732228
167,2016-02-01,Zuid-Holland,34,10.0,18.0,0.0,62190626
168,2016-03-01,Drenthe,9,,16.0,0.0,11755668
169,2016-03-01,Flevoland,12,,17.0,0.0,12550586
170,2016-03-01,Friesland,9,9.0,17.0,0.0,14990976
171,2016-03-01,Gelderland,25,14.0,22.0,0.0,43979534
172,2016-03-01,Groningen,19,13.0,24.0,0.0,11936457
173,2016-03-01,Limburg,23,17.0,22.0,0.0,23560147
174,2016-03-01,Noord-Brabant,23,15.0,20.0,0.0,57201144
175,2016-03-01,Noord-Holland,29,15.0,21.0,0.0,47438165
176,2016-03-01,Overijssel,10,15.0,17.0,0.0,25136738
177,2016-03-01,Utrecht,26,14.0,19.0,0.0,27202822
178,2016-03-01,Zeeland,16,,22.0,0.0,8732228
179,2016-03-01,Zuid-Holland,31,13.0,21.0,0.0,62190626
180,2016-04-01,Drenthe,8,,11.0,0.0,11755668
181,2016-04-01,Flevoland,11,,13.0,0.0,12550586
182,2016-04-01,Friesland,6,7.0,14.0,0.0,14990976
183,2016-04-01,Gelderland,20,8.0,16.0,0.0,43979534
184,2016-04-01,Groningen,17,9.0,20.0,0.0,11936457
185,2016-04-01,Limburg,18,9.0,14.0,0.0,23560147
186,2016-04-01,Noord-Brabant,19,9.0,15.0,0.0,57201144
187,2016-04-01,Noord-Holland,26,10.0,17.0,0.0,47438165
188,2016-04-01,Overijssel,9,9.0,12.0,0.0,25136738
189,2016-04-01,Utrecht,23,8.0,14.0,0.0,27202822
190,2016-04-01,Zeeland,13,,17.0,0.0,8732228
191,2016-04-01,Zuid-Holland,28,9.0,16.0,0.0,62190626
192,2016-05-01,Drenthe,8,,14.0,0.0,11755668
193,2016-05-01,Flevoland,10,,16.0,0.0,12550586
194,2016-05-01,Friesland,7,9.0,18.0,0.0,14990976
195,2016-05-01,Gelderland,20,9.0,19.0,0.0,43979534
196,2016-05-01,Groningen,15,9.0,23.0,0.0,11936457
197,2016-05-01,Limburg,17,9.0,18.0,0.0,23560147
198,2016-05-01,Noord-Brabant,18,11.0,19.0,0.0,57201144
199,2016-05-01,Noord-Holland,23,13.0,20.0,0.0,47438165
200,2016-05-01,Overijssel,8,9.0,16.0,0.0,25136738
201,2016-05-01,Utrecht,19,9.0,17.0,0.0,27202822
202,2016-05-01,Zeeland,14,,21.0,0.0,8732228
203,2016-05-01,Zuid-Holland,25,10.0,19.0,0.0,62190626
204,2016-06-01,Drenthe,7,,14.0,0.0,11755668
205,2016-06-01,Flevoland,7,,15.0,0.0,12550586
206,2016-06-01,Friesland,6,8.0,18.0,0.0,14990976
207,2016-06-01,Gelderland,17,7.0,17.0,0.0,43979534
208,2016-06-01,Groningen,15,9.0,24.0,0.0,11936457
209,2016-06-01,Limburg,15,11.0,18.0,0.0,23560147
210,2016-06-01,Noord-Brabant,17,13.0,18.0,0.0,57201144
211,2016-06-01,Noord-Holland,21,11.0,19.0,0.0,47438165
212,2016-06-01,Overijssel,6,8.0,17.0,0.0,25136738
213,2016-06-01,Utrecht,18,8.0,16.0,0.0,27202822
214,2016-06-01,Zeeland,11,,19.0,0.0,8732228
215,2016-06-01,Zuid-Holland,24,9.0,19.0,0.0,62190626
216,2016-07-01,Drenthe,5,,12.0,0.0,11755668
217,2016-07-01,Flevoland,7,,13.0,0.0,12550586
218,2016-07-01,Friesland,5,3.0,14.0,0.0,14990976
219,2016-07-01,Gelderland,18,5.0,16.0,0.0,43979534
220,2016-07-01,Groningen,13,6.0,16.0,0.0,11936457
221,2016-07-01,Limburg,14,7.0,16.0,0.0,23560147
222,2016-07-01,Noord-Brabant,15,9.0,17.0,0.0,57201144
223,2016-07-01,Noord-Holland,20,8.0,16.0,0.0,47438165
224,2016-07-01,Overijssel,7,5.0,13.0,0.0,25136738
225,2016-07-01,Utrecht,19,5.0,14.0,0.0,27202822
226,2016-07-01,Zeeland,8,,14.0,0.0,8732228
227,2016-07-01,Zuid-Holland,22,5.0,16.0,0.0,62190626
228,2016-08-01,Drenthe,7,,12.0,0.0,11755668
229,2016-08-01,Flevoland,8,,13.0,0.0,12550586
230,2016-08-01,Friesland,5,4.0,13.0,0.0,14990976
231,2016-08-01,Gelderland,18,5.0,14.0,0.0,43979534
232,2016-08-01,Groningen,14,5.0,16.0,0.0,11936457
233,2016-08-01,Limburg,16,6.0,15.0,0.0,23560147
234,2016-08-01,Noord-Brabant,17,8.0,16.0,0.0,57201144
235,2016-08-01,Noord-Holland,22,9.0,17.0,0.0,47438165
236,2016-08-01,Overijssel,7,4.0,13.0,0.0,25136738
237,2016-08-01,Utrecht,19,6.0,14.0,0.0,27202822
238,2016-08-01,Zeeland,11,,20.0,0.0,8732228
239,2016-08-01,Zuid-Holland,24,8.0,17.0,0.0,62190626
240,2016-09-01,Drenthe,11,,17.0,0.0,11755668
241,2016-09-01,Flevoland,12,,20.0,0.0,12550586
242,2016-09-01,Friesland,9,8.0,17.0,0.0,14990976
243,2016-09-01,Gelderland,26,8.0,23.0,0.0,43979534
244,2016-09-01,Groningen,20,10.0,22.0,0.0,11936457
245,2016-09-01,Limburg,22,8.0,21.0,0.0,23560147
246,2016-09-01,Noord-Brabant,24,12.0,23.0,0.0,57201144
247,2016-09-01,Noord-Holland,31,11.0,21.0,0.0,47438165
248,2016-09-01,Overijssel,11,9.0,18.0,0.0,25136738
249,2016-09-01,Utrecht,28,8.0,19.0,0.0,27202822
250,2016-09-01,Zeeland,16,,20.0,0.0,8732228
251,2016-09-01,Zuid-Holland,34,11.0,22.0,0.0,62190626
252,2016-10-01,Drenthe,10,,14.0,0.0,11755668
253,2016-10-01,Flevoland,13,,15.0,0.0,12550586
254,2016-10-01,Friesland,10,8.0,12.0,0.0,14990976
255,2016-10-01,Gelderland,25,11.0,19.0,0.0,43979534
256,2016-10-01,Groningen,22,10.0,20.0,0.0,11936457
257,2016-10-01,Limburg,22,12.0,17.0,0.0,23560147
258,2016-10-01,Noord-Brabant,24,13.0,20.0,0.0,57201144
259,2016-10-01,Noord-Holland,28,13.0,18.0,0.0,47438165
260,2016-10-01,Overijssel,12,10.0,15.0,0.0,25136738
261,2016-10-01,Utrecht,25,10.0,16.0,0.0,27202822
262,2016-10-01,Zeeland,18,,17.0,0.0,8732228
263,2016-10-01,Zuid-Holland,31,12.0,18.0,0.0,62190626
264,2016-11-01,Drenthe,16,,14.0,0.0,11755668
265,2016-11-01,Flevoland,20,,15.0,0.0,12550586
266,2016-11-01,Friesland,15,9.0,13.0,0.0,14990976
267,2016-11-01,Gelderland,29,12.0,21.0,0.0,43979534
268,2016-11-01,Groningen,26,10.0,21.0,0.0,11936457
269,2016-11-01,Limburg,25,12.0,17.0,0.0,23560147
270,2016-11-01,Noord-Brabant,28,14.0,20.0,0.0,57201144
271,2016-11-01,Noord-Holland,35,13.0,18.0,0.0,47438165
272,2016-11-01,Overijssel,18,11.0,16.0,0.0,25136738
273,2016-11-01,Utrecht,32,11.0,17.0,0.0,27202822
274,2016-11-01,Zeeland,21,,16.0,0.0,8732228
275,2016-11-01,Zuid-Holland,37,12.0,18.0,0.0,62190626
276,2016-12-01,Drenthe,20,,23.0,0.0,11755668
277,2016-12-01,Flevoland,27,,23.0,0.0,12550586
278,2016-12-01,Friesland,23,14.0,21.0,0.0,14990976
279,2016-12-01,Gelderland,34,19.0,31.0,0.0,43979534
280,2016-12-01,Groningen,31,17.0,33.0,0.0,11936457
281,2016-12-01,Limburg,31,18.0,24.0,0.0,23560147
282,2016-12-01,Noord-Brabant,34,21.0,29.0,0.0,57201144
283,2016-12-01,Noord-Holland,41,21.0,29.0,0.0,47438165
284,2016-12-01,Overijssel,24,19.0,24.0,0.0,25136738
285,2016-12-01,Utrecht,38,19.0,27.0,0.0,27202822
286,2016-12-01,Zeeland,30,,27.0,0.0,8732228
287,2016-12-01,Zuid-Holland,43,20.0,30.0,0.0,62190626
288,2017-01-01,Drenthe,19,,25.0,0.0,11755668
289,2017-01-01,Flevoland,22,,25.0,0.0,12550586
290,2017-01-01,Friesland,19,18.0,24.0,0.0,14990976
291,2017-01-01,Gelderland,35,21.0,33.0,0.0,43979534
292,2017-01-01,Groningen,30,21.0,36.0,0.0,11936457
293,2017-01-01,Limburg,32,19.0,25.0,0.0,23560147
294,2017-01-01,Noord-Brabant,34,22.0,29.0,0.0,57201144
