Year,RegioS,Average NO2 Value,Average PM2.5 Value,Average PM10 Value
2025,Drenthe,22.34340301440034,10.777951179376368,13.835034739899196
2025,Flevoland,22.34340301440034,10.777951179376368,13.835034739899196
2025,Friesland,22.34340301440034,10.777951179376368,13.835034739899196
2025,Gelderland,22.34340301440034,10.777951179376368,13.835034739899196
2025,Groningen,22.34340301440034,10.777951179376368,13.835034739899196
2025,Limburg,22.34340301440034,10.777951179376368,13.835034739899196
2025,National,10.059180290714547,10.777951179376368,13.835034739899196
2025,Noord-Brabant,22.34340301440034,10.777951179376368,13.835034739899196
2025,Noord-Holland,22.34340301440034,10.777951179376368,13.835034739899196
2025,Overijssel,22.34340301440034,10.777951179376368,13.835034739899196
2025,Utrecht,22.34340301440034,10.777951179376368,13.835034739899196
2025,Zeeland,22.34340301440034,10.777951179376368,13.835034739899196
2025,Zuid-Holland,22.34340301440034,10.777951179376368,13.835034739899196
2026,Drenthe,18.85670013532013,8.654563611436217,12.751813824345941
2026,Flevoland,18.85670013532013,8.654563611436217,12.751813824345941
2026,Friesland,18.85670013532013,8.654563611436217,12.751813824345941
2026,Gelderland,18.85670013532013,8.654563611436217,12.751813824345941
2026,Groningen,18.85670013532013,8.654563611436217,12.751813824345941
2026,Limburg,18.85670013532013,8.654563611436217,12.751813824345941
2026,National,7.8020129371351405,8.654563611436217,12.751813824345941
2026,Noord-Brabant,18.85670013532013,8.654563611436217,12.751813824345941
2026,Noord-Holland,18.85670013532013,8.654563611436217,12.751813824345941
2026,Overijssel,18.85670013532013,8.654563611436217,12.751813824345941
2026,Utrecht,18.85670013532013,8.654563611436217,12.751813824345941
2026,Zeeland,18.85670013532013,8.654563611436217,12.751813824345941
2026,Zuid-Holland,18.85670013532013,8.654563611436217,12.751813824345941
2027,Drenthe,18.56850049074636,8.730198131130452,14.079053421672027
2027,Flevoland,18.56850049074636,8.730198131130452,14.079053421672027
2027,Friesland,18.56850049074636,8.730198131130452,14.079053421672027
2027,Gelderland,18.56850049074636,8.730198131130452,14.079053421672027
2027,Groningen,18.56850049074636,8.730198131130452,14.079053421672027
2027,Limburg,18.56850049074636,8.730198131130452,14.079053421672027
2027,National,8.191638967454036,8.730198131130452,14.079053421672027
2027,Noord-Brabant,18.56850049074636,8.730198131130452,14.079053421672027
2027,Noord-Holland,18.56850049074636,8.730198131130452,14.079053421672027
2027,Overijssel,18.56850049074636,8.730198131130452,14.079053421672027
2027,Utrecht,18.56850049074636,8.730198131130452,14.079053421672027
2027,Zeeland,18.56850049074636,8.730198131130452,14.079053421672027
2027,Zuid-Holland,18.56850049074636,8.730198131130452,14.079053421672027
2028,Drenthe,18.321058807033552,8.68267951668869,14.31858779939444
2028,Flevoland,18.321058807033552,8.68267951668869,14.31858779939444
2028,Friesland,18.321058807033552,8.68267951668869,14.31858779939444
2028,Gelderland,18.321058807033552,8.68267951668869,14.31858779939444
2028,Groningen,18.321058807033552,8.68267951668869,14.31858779939444
2028,Limburg,18.321058807033552,8.68267951668869,14.31858779939444
2028,National,7.172614462251833,8.68267951668869,14.31858779939444
2028,Noord-Brabant,18.321058807033552,8.68267951668869,14.31858779939444
2028,Noord-Holland,18.321058807033552,8.68267951668869,14.31858779939444
2028,Overijssel,18.321058807033552,8.68267951668869,14.31858779939444
2028,Utrecht,18.321058807033552,8.68267951668869,14.31858779939444
2028,Zeeland,18.321058807033552,8.68267951668869,14.31858779939444
2028,Zuid-Holland,18.321058807033552,8.68267951668869,14.31858779939444
2029,Drenthe,18.10861098486784,8.712533857373252,14.108507777771527
2029,Flevoland,18.10861098486784,8.712533857373252,14.108507777771527
2029,Friesland,18.10861098486784,8.712533857373252,14.108507777771527
2029,Gelderland,18.10861098486784,8.712533857373252,14.108507777771527
2029,Groningen,18.10861098486784,8.712533857373252,14.108507777771527
2029,Limburg,18.10861098486784,8.712533857373252,14.108507777771527
2029,National,6.1572546805594905,8.712533857373252,14.108507777771527
2029,Noord-Brabant,18.10861098486784,8.712533857373252,14.108507777771527
2029,Noord-Holland,18.10861098486784,8.712533857373252,14.108507777771527
2029,Overijssel,18.10861098486784,8.712533857373252,14.108507777771527
2029,Utrecht,18.10861098486784,8.712533857373252,14.108507777771527
2029,Zeeland,18.10861098486784,8.712533857373252,14.108507777771527
2029,Zuid-Holland,18.10861098486784,8.712533857373252,14.108507777771527
2030,Drenthe,17.926208099203116,8.693777383343434,14.29275529958749
2030,Flevoland,17.926208099203116,8.693777383343434,14.29275529958749
2030,Friesland,17.926208099203116,8.693777383343434,14.29275529958749
2030,Gelderland,17.926208099203116,8.693777383343434,14.29275529958749
2030,Groningen,17.926208099203116,8.693777383343434,14.29275529958749
2030,Limburg,17.926208099203116,8.693777383343434,14.29275529958749
2030,National,5.145546442911419,8.693777383343434,14.29275529958749
2030,Noord-Brabant,17.926208099203116,8.693777383343434,14.29275529958749
2030,Noord-Holland,17.926208099203116,8.693777383343434,14.29275529958749
2030,Overijssel,17.926208099203116,8.693777383343434,14.29275529958749
2030,Utrecht,17.926208099203116,8.693777383343434,14.29275529958749
2030,Zeeland,17.926208099203116,8.693777383343434,14.29275529958749
2030,Zuid-Holland,17.926208099203116,8.693777383343434,14.29275529958749
